📊 TABELA,📝 KOLUMNA,🔧 TYP,⚠️ NULL?,🔄 DEFAULT
accountant_forms,id,uuid,NOT NULL,gen_random_uuid()
accountant_forms,accountant_id,uuid,NOT NULL,null
accountant_forms,form_type,character varying,NOT NULL,null
accountant_forms,form_name,character varying,NOT NULL,null
accountant_forms,form_fields,jsonb,NOT NULL,null
accountant_forms,is_active,boolean,NULL,true
accountant_forms,requires_approval,boolean,NULL,false
accountant_forms,created_at,timestamp without time zone,NULL,now()
accountant_forms,updated_at,timestamp without time zone,NULL,now()
accountant_reviews,id,uuid,NOT NULL,gen_random_uuid()
accountant_reviews,accountant_id,uuid,NOT NULL,null
accountant_reviews,reviewer_id,uuid,NOT NULL,null
accountant_reviews,reviewer_type,character varying,NOT NULL,null
accountant_reviews,reviewer_name,character varying,NULL,null
accountant_reviews,rating,integer,NOT NULL,null
accountant_reviews,professionalism_rating,integer,NULL,null
accountant_reviews,communication_rating,integer,NULL,null
accountant_reviews,quality_rating,integer,NULL,null
accountant_reviews,timeliness_rating,integer,NULL,null
accountant_reviews,comment,text,NULL,null
accountant_reviews,would_recommend,boolean,NULL,true
accountant_reviews,status,character varying,NULL,'approved'::character varying
accountant_reviews,created_at,timestamp without time zone,NULL,now()
accountant_reviews,worker_id,uuid,NULL,null
accountant_reviews,cleaning_company_id,uuid,NULL,null
accountant_reviews,employer_id,uuid,NULL,null
accountant_services,id,uuid,NOT NULL,gen_random_uuid()
accountant_services,accountant_id,uuid,NOT NULL,null
accountant_services,service_type,character varying,NOT NULL,null
accountant_services,name,character varying,NOT NULL,null
accountant_services,description,text,NULL,null
accountant_services,price_type,character varying,NULL,'fixed'::character varying
accountant_services,price_amount,numeric,NULL,null
accountant_services,price_currency,character varying,NULL,'EUR'::character varying
accountant_services,delivery_time,character varying,NULL,null
accountant_services,includes,ARRAY,NULL,null
accountant_services,is_active,boolean,NULL,true
accountant_services,display_order,integer,NULL,0
accountant_services,created_at,timestamp without time zone,NULL,now()
accountant_services,updated_at,timestamp without time zone,NULL,now()
accountant_team_members,id,uuid,NOT NULL,gen_random_uuid()
accountant_team_members,accountant_id,uuid,NOT NULL,null
accountant_team_members,member_name,character varying,NOT NULL,null
accountant_team_members,member_email,character varying,NOT NULL,null
accountant_team_members,member_phone,character varying,NULL,null
accountant_team_members,role,character varying,NOT NULL,'assistant'::character varying
accountant_team_members,specialization,ARRAY,NULL,null
accountant_team_members,can_handle_clients,boolean,NOT NULL,false
accountant_team_members,can_approve_forms,boolean,NOT NULL,false
accountant_team_members,avatar_url,text,NULL,null
accountant_team_members,bio,text,NULL,null
accountant_team_members,is_active,boolean,NOT NULL,true
accountant_team_members,created_at,timestamp with time zone,NOT NULL,now()
accountant_team_members,updated_at,timestamp with time zone,NOT NULL,now()
accountants,id,uuid,NOT NULL,gen_random_uuid()
accountants,profile_id,uuid,NULL,null
accountants,full_name,character varying,NOT NULL,null
accountants,company_name,character varying,NULL,null
accountants,email,character varying,NOT NULL,null
accountants,phone,character varying,NULL,null
accountants,kvk_number,character varying,NULL,null
accountants,btw_number,character varying,NULL,null
accountants,license_number,character varying,NULL,null
accountants,city,character varying,NULL,null
accountants,address,character varying,NULL,null
accountants,postal_code,character varying,NULL,null
accountants,country,character varying,NULL,'Nederland'::character varying
accountants,bio,text,NULL,null
accountants,specializations,ARRAY,NULL,null
accountants,languages,ARRAY,NULL,ARRAY['Nederlands'::text]
accountants,website,character varying,NULL,null
accountants,avatar_url,text,NULL,null
accountants,cover_image_url,text,NULL,null
accountants,portfolio_images,ARRAY,NULL,null
accountants,rating,numeric,NULL,0
accountants,rating_count,integer,NULL,0
accountants,total_clients,integer,NULL,0
accountants,years_experience,integer,NULL,0
accountants,is_verified,boolean,NULL,false
accountants,is_active,boolean,NULL,true
accountants,created_at,timestamp without time zone,NULL,now()
accountants,updated_at,timestamp without time zone,NULL,now()
accountants,subscription_tier,text,NULL,'pro'::text
accountants,subscription_status,text,NULL,'active'::text
accountants,average_rating,numeric,NULL,0
accountants,review_count,integer,NULL,0
admin_logs,id,uuid,NOT NULL,gen_random_uuid()
admin_logs,admin_id,uuid,NULL,null
admin_logs,action,text,NOT NULL,null
admin_logs,target_type,text,NULL,null
admin_logs,target_id,uuid,NULL,null
admin_logs,details,jsonb,NULL,null
admin_logs,ip_address,inet,NULL,null
admin_logs,user_agent,text,NULL,null
admin_logs,created_at,timestamp with time zone,NULL,now()
analytics_events,id,uuid,NOT NULL,gen_random_uuid()
analytics_events,user_id,uuid,NULL,null
analytics_events,event_type,text,NOT NULL,null
analytics_events,event_name,text,NOT NULL,null
analytics_events,properties,jsonb,NULL,null
analytics_events,session_id,text,NULL,null
analytics_events,ip_address,inet,NULL,null
analytics_events,user_agent,text,NULL,null
analytics_events,created_at,timestamp with time zone,NULL,now()
applications,id,uuid,NOT NULL,gen_random_uuid()
applications,job_id,uuid,NOT NULL,null
applications,worker_id,uuid,NOT NULL,null
applications,employer_id,uuid,NOT NULL,null
applications,status,text,NULL,'pending'::text
applications,cover_letter,text,NULL,null
applications,proposed_rate,numeric,NULL,null
applications,available_from,date,NULL,null
applications,created_at,timestamp with time zone,NULL,now()
applications,updated_at,timestamp with time zone,NULL,now()
applications,reviewed_at,timestamp with time zone,NULL,null
automation_rules,id,uuid,NOT NULL,gen_random_uuid()
automation_rules,project_id,uuid,NULL,null
automation_rules,name,text,NOT NULL,null
automation_rules,description,text,NULL,null
automation_rules,trigger_type,text,NOT NULL,null
automation_rules,trigger_conditions,jsonb,NOT NULL,'{}'::jsonb
automation_rules,action_type,text,NOT NULL,null
automation_rules,action_config,jsonb,NOT NULL,'{}'::jsonb
automation_rules,is_active,boolean,NULL,true
automation_rules,created_by,uuid,NULL,null
automation_rules,created_at,timestamp with time zone,NULL,now()
